"","id","order","screen_name","name","name_label","description","descrip_label"
"13",865680475,7037,"zchagla","Zain Chagla","o","Infectious Diseases Physician at St. Joe's Hamilton / Associate Professor at McMaster University. Views are mine alone and don’t reflect institutions.","p"
"14",1209936918,7281,"OANN","One America News","g","Your nation. Your news. #OANN","g"
"15",21419504,6123,"WCVB","WCVB-TV Boston","g","Real time updates from Boston's News Leader: WCVB NewsCenter 5","g"
"16",170861207,1210,"KatTimpf","Kat Timpf","o","doing my best","o"
"17",1230463969,4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN ???? ????","p","ICU Nurse. Christian. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.","p"
"18",1230463969,4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN ???? ????","p","ICU/ER Nurse. Christian. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.","p"
"19",1230463969,4886,"birgitomo","Birgit Umaigba RN, BScN, MEd, CCRN ???? ????","p","ICU/ER Nurse. Instructor. Healthcare & family-reunification focused. Want @marcomendicino to #prioritizefamilysponsorship. Everything coconut! Tweets = mine.","p"
"20",1499607608,2170,"sallyKP","sally","o","Follower of Jesus, vaccine risk aware, pro informed consent, freedom fighter.?? Gab: @SallyKP4 & Parler: @SallyKP","o"
"21",742143,1062,"BBCWorld","BBC News (World)","g","News, features and analysis from the World's newsroom. Breaking news, follow @BBCBreaking. UK news, @BBCNews. Latest sports news @BBCSport","g"
"22",4216062853,6675,"SallyLawry","??Sally Lawry","o","Australians deserve better than the LNP. It's time for Integrity! Murdoch free house . Union member. Black lives matter . Asylum seekers need kindness","o"
"23",14946895,1367,"virginianpilot","The Virginian-Pilot","o","Breaking news and reporting for Hampton Roads and Virginia since 1865.","g"
"24",1140090941195325440,7365,"TurnbullWhitby","Ryan Turnbull","o","Liberal Member of Parliament for Whitby. Father, husband, social entrepreneur and former CEO. ??905-665-8182 ??Ryan.Turnbull@parl.gc.ca he/him/il","o"
"25",1346890637690499072,2866,"CaudeHenrion","Alexandra Henrion-Caude","o","Scientifique. Chercheur. Spécialiste de l’ARN. Fondatrice de l'Institut de Recherche SimplissimA","f"
"26",1246374275688198144,6016,"LekkaMercedez","GetBackToLife","o","Jail Andrews!  Say No!  to the  Dictators  """""""" new normal"""""""" .
Folks are dumb where I come from.  Are you? ??????????????","o"
"27",1246374275688198144,6016,"LekkaMercedez","GetBackToLifeorDieUnderNWO","o","Jail Andrews!  Say No!  to the  Dictators  new normal .
Folks are dumb where I come from.  Are you? ??????????????","o"
"28",1246374275688198144,6016,"LekkaMercedez","GetBackToLife-COURAGE!","o","Jail Andrews!  Say No!  to the  Dictators  new normal .
Folks are dumb where I come from.  Are you? ??????????????","o"
"29",1246374275688198144,6016,"LekkaMercedez","GetBackToLife#DONOTCOMPLY","o","Jail Andrews!  Say No!  to the  Dictators  new normal .
Folks are dumb where I come from.  Are you? ??????????????","o"
"30",830504089561792512,5725,"asheborn57","Cindy","o","Constitutionalist, Patriot, Conservative. Jesus freak.. Love America, animals, LEOs, our military and the blues. NO LISTS, trains or DM's.????????????","o"
"31",758900688,1402,"GCobber99","Geoff Pearson","o","all views are mine i am sick of pollies lies trying to hold them too account our media wont","o"
"32",17794234,3011,"willyloman1","Scott Creighton","o","Conformity is the jailer of freedom and the enemy 
of growth. JFK","o"
"33",1270704242718846976,3775,"PISDI94_96","??????Senior Drill Instructor Sgt. White ??????","o","10 Year Marine Corps Veteran//Biden is a piece of shit #Resist #NotMyPresident #46TheFraud #KamalaIsRacist Pronouns: AR15/AK47","o"
"34",1270704242718846976,3775,"PISDI94_96","??????TRUMP WON ??????","o","10 Year Marine Corps Veteran//Biden is a piece of shit #Resist #NotMyPresident #46TheFraud #KamalaIsRacist Pronouns: AR15/AK47","o"
"35",1270704242718846976,3775,"PISDI94_96","??????TRUMP WON??????","o","10 Year Marine Corps Veteran//Biden is a piece of shit #Resist #NotMyPresident #46TheFraud #KamalaIsRacist Pronouns: AR15/AK47","o"
"36",55330244,176,"Rifleman4WVU","T","o","Love my Wife, Family and Country and want to keep what the Founders wanted for it, Life, Liberty & The Pursuit of Happiness! Mountaineers are Always Free ????","o"
"37",20106357,7053,"robinmonottibis","Robin Monotti FRSA??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ?? https://t.co/Et4Vcdxkuq","o"
"38",20106357,7053,"robinmonottibis","Robin Monotti??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ?? http://t.me/robin","o"
"39",20106357,7053,"robinmonottibis","Robin Monotti ??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision ?? http://t.me/robin","o"
"40",20106357,7053,"robinmonottibis","Robin Monotti ??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"41",20106357,7053,"robinmonottibis","Robin Monotti MA FRSA ??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"42",20106357,7053,"robinmonottibis","Robin Monotti MA FRSA??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"43",20106357,7053,"robinmonottibis","Robin Monotti","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"44",20106357,7053,"robinmonotti2","Robin Monotti","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"45",20106357,7053,"robinmonotti2","Robin Monotti ??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"46",20106357,7053,"robinmonotti2","Robin Monotti??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"47",20106357,7053,"robinmonotti2","Robin Monotti FRSA ??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"48",20106357,7053,"robinmonotti2","Robin Monotti FRSA","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"49",20106357,7053,"robinmonotti2","Robin Monotti FRSA??","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision http://t.me/robinmg","o"
"50",20106357,7053,"robinmonotti2","Robin Monotti FRSA","o","Architect of the Monotti Protocol, Yacht House & Spiral Tower Designer of Watering Holes for the Royal Parks Producer of The Book of Vision http://t.me/robinmg","o"
"51",20106357,7053,"robinmonotti2","Robin Monotti FRSA","o","Architect of the #MonottiProtocol, Yacht House & Spiral Tower. Designer of Watering Holes for the Royal Parks. Producer of #TheBookofVision https://t.co/Et4Vcdx","o"
"52",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","Architect of the Monotti Protocol, Yacht House & Spiral Tower Designer of Watering Holes for the Royal Parks Producer of The Book of Vision http://t.me/robinmg","o"
"53",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","Architect of the Monotti Protocol, Yacht House & Spiral Tower. Designer of Watering Holes Royal Parks. Producer of The Book of Vision  http://t.me/robinmg","o"
"54",20106357,7053,"robinmonotti2","Robin Monotti Graziadei FRSA","o","Architect: Monotti Protocol, Yacht House & Spiral Tower. Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"55",20106357,7053,"robinmonotti2","Robin Monotti Graziadei FRSA","o","Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"56",20106357,7053,"robinmonotti2","Robin Monotti Graziadei FRSA","o","Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. ?? Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"57",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","FRSA. Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"58",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","Architect: Monotti Protocol, Yacht House & Spiral Tower, Watering Holes, Royal Parks. ?? Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"59",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","FRSA. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"60",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","FRSA MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram: http://t.me/robinmg","o"
"61",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg","o"
"62",20106357,7053,"robinmonotti2","Robin Monotti Graziadei ??","o","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes, Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg","o"
"63",20106357,7053,"robinmonotti2","Robin Monotti Graziadei ??","o","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg","o"
"64",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg","o"
"65",20106357,7053,"robinmonotti2","Robin Monotti","o","FRSA ARB MA BSc. Monotti Protocol. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Producer: The Book of Vision. Telegram http://t.me/robinmg","o"
"66",20106357,7053,"robinmonotti2","Robin Monotti","o","FRSA ARB MA BSc. Monotti Protocol Producer: The Book of Vision. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Telegram http://t.me/robinmg","o"
"67",20106357,7053,"robinmonotti2","Robin Monotti Graziadei","o","FRSA ARB MA BSc. Monotti Protocol Producer: The Book of Vision. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Telegram http://t.me/robinmg","o"
"68",20106357,7053,"robinmonotti2","Robin Monotti Graziadei ??","o","FRSA ARB MA BSc. Monotti Protocol Producer: The Book of Vision. Architect: Yacht House, Spiral Tower, Watering Holes: Royal Parks. Telegram http://t.me/robinmg","o"
"69",39308549,4959,"DailyCaller","Daily Caller","o","The journalists who love America.","g"
"70",537795028,4295,"JReinerMD","Jonathan Reiner","o","Professor of Medicine and Surgery @GWSMHS @GW_MFA, Interventional Cardiologist, @CNN Medical Analyst, @ScribnerBooks author","p"
"71",22646514,5627,"NewstalkFM","NewstalkFM","g","We aim to engage, challenge, inform, and entertain. Tune in: 106-108FM or http://newstalk.com/listenlive","g"
"72",15012486,2894,"CBSNews","CBS News","g","Your source for original reporting and trusted news.","g"
"73",1064603540956565504,4591,"GovTimWalz","Governor Tim Walz","o","Dad, husband, teacher, coach, veteran. Governor of Minnesota. Working to build #OneMinnesota. Visit https://t.co/nkzBbEg8E9 for the latest on the COVID vaccine.","o"
"74",532562634,6354,"JudgeClayJ","Clay Jenkins","o","Chief Elected Official of Dallas County. 2nd Largest County in the Lone Star State. Known in TX as the County Judge. Home to 2.7 million. RTs not endorsements.","o"
"75",162071541,5381,"ShaunLintern","Shaun Lintern","o","Health correspondent @independent. 'Almost unstoppable' in pursuit of #patientsafety. Helped expose #MidStaffs. Public interest journalism matters. #E17","o"
"76",1121412745386233856,5918,"dmburkeauthor","David M Burke","o","Award winning author of the 2018 Readers Favorite political thriller, RETURN OF THE FOUNDING FATHERS' GUARDIANS.
Sequel, """"""""RETURN OF OUR COUNTRY"""""""" launched July 1","o"
"77",1289202854046179328,5097,"Truthseeker1985","Truthseeker1984","o","Seeking the real truth in a world full of lies, 2021 the rebellion begins!!
DMs welcome
email me any direct at Truthseeker.1984@hotmail.com
#TakeOffYourMask","o"
"78",1289202854046179328,5097,"Truthseeker1985","Truthseeker1984","o","Seeking the real truth in a world full of lies, 
Always remember,  there's no such thing as a coincidence! 

email me direct at Truthseeker.1984@hotmail.com","o"
"79",1289202854046179328,5097,"Truthseeker1985","Truthseeker1984","o","Seeking the real truth in a world full of lies, 
Always remember,  there's no such thing as a coincidence!
I identify as unvaccinated!!","o"
"80",87775422,2052,"ChinaDaily","China Daily","g","Start a conversation as we share news and analysis from #China and beyond.","o"
"81",560046845,5305,"iTerryTommy","Terrance...","o","...with an ayyyeee | skeptical & distant | everyone is awful","o"
"82",115465588,1602,"regionofpeel","Region of Peel","g","Monitored Mon-Fri 8:30-4:30 excluding holidays. Call 905-791-7800 for service info or visit http://peelregion.ca. For emergencies call 911.","g"
"83",94143125,203,"fekubawa","????? ????","f","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi @INCSMV #UnfollowGodiMedia ??????? ????","o"
"84",94143125,203,"fekubawa","????? ????","f","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi #UnfollowGodiMedia ??????? ????","o"
"85",94143125,203,"fekubawa","????? ????","f","TRUE INDIAN FIRST, HINDU LATER LOVE MY COUNTRY NOT COMMUNAL AND BIGOT FEKU GOVT. @CONGRESSTASK @Rahulgandhi #MyLeaderRahulGandhi #UnfollowGodiMedia ??????? ????","o"
"86",1286288634363158528,6044,"I7Bomb","TruthBombsDITT01111","o","Back after being cancelled by Woke Big Tech ditto ditto
Early treatment information for C0V1D I9
HCQ IVERMECTIN BUDESONIDE HERE https://mergeurl.com/o/3athb","o"
"87",1468961041,3698,"WilmaSlurrie","Mrs & Mr Slurrie","o","Joint effort. One drums in The Trolling Stones; other authored: 'Momzers, fermented cabbage, gump-stumps & slush-bags: the history of RWNJ’.","o"
"88",590211920,1891,"libertytarian","David Knight","o","Podcast: https://t.co/YFjzf8zhIg
LIVE M-F 9am EASTERN DLive/Trovo
Links to ALL programs & media: https://t.co/gYj6eFVKPq
DavidKnightShow@protonmail.com","o"
"89",389067673,1592,"CBCFletch","Robson Fletcher","o","Reporter / Editor with @CBCCalgary, focusing on data & analysis. Views my own and subject to change, especially in light of new evidence. robson.fletcher@cbc.ca","o"
"90",16406877,2379,"RobertGehrke","Robert Gehrke","o","Word monger, Enemy of the American People, columnist at http://sltrib.com. Official 2020 Survivor.","o"
"91",155581583,3588,"robbysoave","Robby Soave","o","@reason senior editor. 2016 @forbes 30 Under 30 list. Author of """"""""Panic Attack: Young Radicals in the Age of Trump."""""""" Available now: http://bit.ly/2t6lO23","o"
"92",3004769941,6828,"aaron_ashley1","Aaron Ashley","o","Can't stand bullshit, blatant lying to my face, crap cover stories or any other horse shit.","o"
"93",13001192,6136,"kare11","KARE 11","g","KARE 11 News, http://kare11.com and the KARE 11 app are the places to go for all your news, weather, sports and traffic. Part of #teamTEGNA","g"
"94",2571092894,2851,"lordvanvan","lafont","o","",""
"95",1247223374717296640,5602,"TheInsiderPaper","Insider Paper","o","Covering Breaking News And Events Unfolding In The World","g"
"96",576533046,884,"srinivasiyc","Srinivas B V","o","National President - @IYC | Best Youth Worker awardee - Karnataka State Government | Views are purely personal.","o"
"97",576533046,884,"srinivasiyc","Srinivas B V","o","National President - @IYC | Best Youth Worker awardee - Karnataka State Government | Views are purely personal | Volunteer - #SOSIYC |","o"
"98",23136887,2274,"wesbury","Brian Wesbury","o","Chief Economist, First Trust Portfolios LP. The Antidote to Conventional Wisdom. Eagle Scout. Northwestern MBA. And, yes, I own a John Deere tractor!","o"
"99",1156560530594832384,5973,"AnnamiePaul","Annamie Paul","o","Leader of the Green Party of Canada (She) Chef du Parti vert du Canada (Elle) M.P.A. (Princeton), LL.B (Ottawa)","o"
"100",1156560530594832384,5973,"AnnamiePaul","Annamie Paul","o","Leader of the Green Party of Canada (She) 
Chef du Parti vert du Canada (Elle) 
M.P.A. (Princeton), LL.B (Ottawa)","o"
"101",43633246,3085,"EdtheSock","Ed the Sock","o","Canadian Icon. Back to save the world.  Find podcasts under FUNetwork. Starting a new online music channel like an updated Muchmusic. Soon.","o"
"102",43633246,3085,"EdtheSock","Ed the Sock","o","Canadian Icon. Back to save the world.  Find podcasts under #FUNetwork. Starting a new online, multi-platform #CdnMusic network over at http://NewMusicNation.Ca","o"
"103",741903096,7192,"WakeAustralia","WAKE UP AUSTRALIA WAKE UP","o","Just offering you my perception of the truth. Take it or leave it. No other agenda.","o"
"104",378385961,7027,"PennyGill3","Penny Gill","o","President: Autism/PDD Family Alliance.  University of Toronto Law, 1981. Seeking sound political governance & challenging its foes. I speak for myself here.","o"
"105",2320796668,5454,"Levi_Owen2000","Levi Owen","o","???????? 20. Rotherham ??","o"
"106",12699932,5836,"SunSentinel","South Florida Sun Sentinel","g","The official Sun Sentinel Twitter account. Covering Broward, Palm Beach and Miami-Dade. Winner of the 2019 Pulitzer Prize Gold Medal For Public Service.","g"
"107",200434844,2486,"hildabast","Hilda Bastian, PhD","p","Meta-science (PhD), writing, cartoons. Absolutely Maybe @PLOS, Statistically Funny on bias & clinical epidemiology. Occasionally @TheAtlantic @WIRED @BMJ_Latest","p"
"108",972180115252752384,3902,"LRPow79","????Reality Dose????","o","I'm built by Motown. Golden Rule ain’t hard to get. PERSIST IN IT. “Water can flow??or it can crash?? Let us be water, my friends.”-Bruce Lee????????AF","o"
"109",84366480,3426,"OttawaHealth","Ottawa Public Health","g","Ottawa’s leading source for health information, programs & services. Prevention, promotion, & protection for healthy communities.
Français = @OttawaSante","g"
"110",7565522,3723,"chikawatanabe","Chika","o","Personal: http://facebook.com/chika
Work: http://facebook.com/svopen
http://linkedin.com/in/chikawatana…
Clubhouse: @chikaw

????????????????","f"
"111",7565522,3723,"chikawatanabe","Chika","o","Personal: http://facebook.com/chika Work: http://facebook.com/svopen http://linkedin.com/in/chikawatana… Clubhouse ID: chikaw ????????????????","f"
"112",292432829,5574,"jemillerwbal","Jayne Miller","o","Investigative Reporter WBAL-TV  Contact me: jemiller@hearst.com  Links and RTs aren't endorsements. Opinions are my own.","o"
"113",84684955,3052,"ArmstrongDrew","Drew Armstrong","o","Senior editor for health care at Bloomberg. Punching numbers and tracking vaccines. https://www.bloomberg.com/graphics/covid-vaccine-tracker-global-distribution","o"
"114",1194645969582854144,5805,"HPVSideEffects","HPV Vaccine Side Effects","o","Try to educate, clarify & research about vaccine side effects. I have a degree in physics & chemistry. Not a conspiracy theorist!","p"
"115",907243363,793,"jambar2021","JAMBAR","o","The primary objective of CLE is to provide intellectual and practical content aimed at increasing the professional competence of attorneys.","o"
"116",16425419,3148,"ksatnews","KSAT 12","g","News from KSAT12 and http://ksat.com; also see https://www.facebook.com/KSAT12/ and follow @ksatweather for weather updates.","g"
"117",917416223541022720,5848,"DrNeilStone","Neil Stone","o","Infectious Diseases & Microbiology, UCLH & HTD. #IDTwitter Fungal Disease. Dad. First person to use the word #Covid according to the Oxford English Dictionary","p"
"118",3794682452,4223,"WHOWPRO","World Health Organization (WHO) Western Pacific","g","World Health Organization @WHO in Western Pacific Region, home to 1.9B people. See latest tweets for updated #COVID19 advice. Regional Director @takeshi_kasai.","g"
"119",3794682452,4223,"WHOWPRO","World Health Organization (WHO) Western Pacific","g","World Health Organization @WHO in the Western #Pacific Region, ?? to 1.9B in #Asia & #Oceania. See new tweets for updated #COVID19 advice. ?? RD @takeshi_kasai","g"
"120",32411838,7108,"Kennymack1971","V'Shawn From Westview,NJ","o","No time for your bullshit.","o"
"121",32411838,7108,"Kennymack1971","Sam from Delacroix, LA","o","No time for your bullshit.","o"
"122",3288075858,4565,"bruce_haigh","Bruce Haigh","o","Former diplomat and political commentator   

haigh.bruce@bigpond.com","o"
"123",1092378031,1683,"GuardianAus","Guardian Australia","o","Latest news from Guardian Australia","g"
"124",17232490,1688,"HillsboroughFL","#CrushCOVIDHC","o","Hillsborough County Government tweeting about what makes #MyHillsborough a great place to live, work, and play.","g"
"125",14247236,6984,"funder","Scott Dworkin","o","Co-Founder & Executive Director @TheDemCoalition. @DworkinReport pod. Journalist. Investigator. Author. Musician. Obama alum. #TheResistance forever.","o"
"126",18486881,3015,"femaregion4","FEMA Region 4","g","This channel provides FEMA mission-related information. For emergencies,
call your local fire/EMS/police or 9-1-1. Serving: AL, FL, GA, KY, MS, NC, SC, TN.","g"
"127",1172210759457214464,3215,"LamontFrazier4","Lamont Frazier??","o","#LGBTQI+RIGHTS?????? #WomensRights! #ProChoice! #RespectGreen #ProudDemocrat! #RESISTANCE! #NEVERtrump! #ONEV1 #RIGHTMATTERS
Happily Married Gay Man????????#Z14","o"
"128",2726522922,1197,"BrasilWire","Brasil Wire","g","Independent news & analysis on Brasil in English since 2014. @progintl partner.","g"
"129",194962896,6749,"KejanHaynes","Kejan Haynes","o","Host: Long Story Short on @wesncc
Former writer at @ny1 Graduate of @columbiajourn. Alum CNMG now TTT @telesurenglish @tv6tnt","o"
"130",1321920913328107520,1471,"Gem56336989","MagaGem??","o","Aussie for TRUMP MAGA Bad Memes","o"
"131",16106584,6252,"stillgray","Ian Miles Cheong","o","I say the quiet part out loud.",""
"132",821657750748954624,4960,"Modi_Nama","Modinama","o","Narendra Modi: The Secret Ingredient of Every Indian's Success. Join our Telegram channel: Modinama
https://t.me/modinama1","o"
"133",8953122,7658,"PolitiFact","PolitiFact","o","Home of the Truth-O-Meter and independent fact-checking. Part of @Poynter. Sign up for our newsletter: https://bit.ly/2Y1o3Ui","o"
"134",11911322,1374,"philippejuvin","???? ???? Pr Philippe Juvin, MD PhD","p","Maire #LR @Lagarenne, Professeur de médecine, chef des Urgences @HopitalPompidou, Ex OPEX Afghanistan. Auteur : Je ne tromperai jamais leur confiance, Gallimard","f"
"135",1267207127388520448,2058,"ReinfoCovid","Dr MARLON","p","Médecin qui soigne.","f"
"136",1267207127388520448,2058,"ReinfoCovid","Dr MARLON STALEC","p","Médecin qui soigne.","f"
"137",1267207127388520448,2058,"ReinfoCovid","Dr MARLON PRADO","p","Médecin qui soigne.","f"
"138",1267207127388520448,2058,"ReinfoCovid","Dr MARLON ZENEKASTRA","p","Médecin qui soigne.","f"
"139",1267207127388520448,2058,"ReinfoCovid","Dr MARLON MABROUK","p","Médecin qui soigne.","f"
"140",1267207127388520448,2058,"ReinfoCovid","Dr MARLON ÉTROFORT","p","Médecin qui soigne.","f"
"141",856852362278948864,7195,"MaryFernando_","Mary Fernando MD","p","Mom, wife, doctor and writer. Care deeply about ???? and places where politics meets patients. Born feisty. Medical psychotherapy. @MedicalPost @Sleuthsayers","p"
"142",856852362278948864,7195,"MaryFernando_","Mary Fernando MD","p","Mom, wife, doctor and writer. Care deeply about ???? and places where politics meets patients. Born feisty. Writer for @MedicalPost @Sleuthsayers","p"
"143",398998659,6615,"Chavez_Fndn","Chavez Foundation","g","Inspiring and transforming communities through social enterprises that address essential human, cultural and community needs. #sisepuede","o"
"144",1325263344639463424,6960,"Kristy91808800","Kristy","o","Mom, wife, cat lover born & raised Vancouverite, mask up & staying home as much as possible","o"
"145",377026626,123,"WorldBankSAsia","World Bank South Asia","g","Gateway to the World Bank's activities in South Asia including Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, & Sri Lanka. Talk to us!","o"
"146",19834403,5831,"NYCMayor","Mayor Bill de Blasio","o","Fighting every day to make New York the fairest big city in America. He/him/his. (http://nyc.gov/socialmediapolicy)","o"
"147",922139348874743808,2107,"LveFreeOrDie","LveFreeOrDie","o","The truth is like a lion. You don't have to defend it. Let it loose and it will defend itself.    –St. Augustine.","o"
"148",18947832,4844,"AnnieYuTV","Annie Yu","o","Mom + wife. Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in #DMV. Left handed ??  If not now, when? - Eckhart Tolle http://WUSA9.com","o"
"149",18947832,4844,"AnnieYuTV","Annie Yu","o","Anchor #GetUpDC weekdays 4:25-7am. Family, golf, foodie. Raised in the #DMV. Left handed ?? If not now, when? -Eckhart Tolle http://WUSA9.com","o"
"150",1282698234130051072,3821,"SarahSm02854325","Sarah Smith","o","Every hour I need Thee?????? ????  ???? #GodBlessTexas You will guide me in your counsel, and afterward you will take me into GLORY Psalm 73:24","o"
"151",2736988902,6197,"SKodineya","Kodineya Surender Sharma","o","Something never change.                                                   
Alone and happy ??.
??????..........","o"
"152",936078120,75,"NathanStall","Nathan Stall","o","Geriatrics/Internal Med @SinaiHealth. Research Fellow @WCRInstitute. PhD(c) Clin Epi @ihpmeuoft. CSTP @UofT_DoM. Vanier Scholar @CIHR_IRSC. Assoc Editor @CMAJ.","p"
"153",4081035674,3579,"9thFloorAZ","The 9th Floor","o","Official account of the Office of Arizona Governor @DougDucey providing an inside look at the day-to-day operations of the governor and his staff","g"
